"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"1163861270","","","","","2009-01-31 05:14:34 +0000","<a href=""http://m.twitter.com/"" rel=""nofollow"">mobile web</a>","wandering back and forth in a building that's literally a mile long."
"1161485113","","","","","2009-01-30 12:41:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","My strategy of fighting jet lag by progressively staying up later and later in advance of travel seems to be working. So far."
"1159292014","","","","","2009-01-29 18:48:27 +0000","web","Every time I think my life can't get any more insane, the world gets definitively, dramatically more crazy. I *think* it's a good thing."
"1151203492","","1183041","","","2009-01-27 04:23:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","@wilw please specify goatse *t-shirt* -- it sounds a lot worse if you just say I did ""a goatse thing""."
"1149129295","","","","","2009-01-26 14:32:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","Any product, no matter how useless or obscure, becomes far more appealing when reduced to Travel Size."
"1147862385","","","","","2009-01-26 00:52:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","My generation ends at precisely the point when females started feeling compelled to make kissy face every time they're photographed."
"1139214846","1139176550","2735591","","","2009-01-22 15:00:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","@fastcompany did solid work with http://tinyurl.com/7a6557 (happily including mentions of @dollarshort, @leahculver and @sixapart)"
"1139162565","","","","","2009-01-22 14:38:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","""In order to ensure consistent service, all customers will be subjected to equally interminable hold times."""
"1137641056","","","","","2009-01-21 23:33:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","Big ideas, tall buildings, ambitious people. Today is a day full of New York things."
"1136877382","","","","","2009-01-21 18:20:43 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","I think Beyonce should just use the footage of the First Dance as the video for her single release of At Last."
"1134035582","","","","","2009-01-20 18:08:49 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","My sense is that the international perception of today is more akin to the moon landing than to any past inauguration."
"1133815705","","","","","2009-01-20 17:17:16 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","I have to say, even just seeing a new whitehouse.gov with a blog on the homepage makes me happy."
"1131487586","","","","","2009-01-19 21:35:16 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","perfect -- my gloves and hat have become unlost just in time for a pretty snowfall. winter!"
"1128938705","","","","","2009-01-18 21:37:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","When Obama is president, HBO will be free."
"1127668868","","","","","2009-01-18 05:38:48 +0000","web","In one block I walked by people talking about making a film, an album, and a painting. Recessions really are a bull market for artists."
"1125048929","","","","","2009-01-16 23:54:19 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","I was having a relatively good day and then @djacobs reminded me that Aaliyah would have turned 30 today. I hate that guy!"
"1124194267","1124149240","930061","","","2009-01-16 17:25:09 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","@ginatrapani http://lifehacker.com/5132674/ succinctly sums up why you're the best at what you do. :) Congrats!"
"1123878783","","","","","2009-01-16 15:19:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","This was a bad week to have misplaced my hat and gloves somewhere."
